id;Kanji;Grade;"Reading within Joyo";"Reading beyond Joyo";"On within Joyo";"Translation of On";"Kun within Joyo";"Translation of Kun";Left1sound;Left2sound;Left3sound;Left4sound;Left5sound;Left6sound;Right1sound;Right2sound;Right3sound;Right4sound;Right5sound;Right6sound;Right7sound
677;痕;7;コン、あと;;kon;"mark; footprint";ato;"mark; footprint";kon;;;;;;kon;ato;;;;;
933;巡;7;ジュン、めぐ-る;;jun;"going around; circumference";megu(ru);"go around; in connection with, concering ";zyun;;;;;;zyun;;;;;;
1189;潜;7;セン、ひそ-む、もぐ-る;くぐ;sen;"conceal, hide; lower (the voice)";"hiso(mu), mogu(ru)";"lurk, lie dormant, be hidden. dive; get into, crawl into ";sen;;;;;;sen;;;;;;
1445;亭;7;テイ;チン;tei;"restaurant; mansion; arbor; cottage; vaudeville, music hall, stage name";-;-;tei;;;;;;tei;;;;;;
1701;罷;7;ヒ;まか、や;hi;"end, stop, cease; subside, calm down, pass; die out, be extinguished; leave, go off; be abandoned ";-;-;hi;;;;;;;;;;;;
678;紺;7;コン;;kon;"dark blue, navy blue";-;-;kon;;;;;;kon;;;;;;
934;盾;7;ジュン、たて;;jun;"shield, buckler, escutcheon; pretext";tate;"shield, buckler, escutcheon; pretext";;;;;;;zyun;;;;;;
1446;貞;7;テイ;ジョウ;tei;"chastity; constancy; righteousness";-;-;tei;;;;;;tei;;;;;;
1702;避;7;ヒ、さ-ける;;hi;"avoid, avert, ward off, keep aloof from, stay away from; evade, shirk, shun ";sa(keru);"avoid, avert, ward off, keep aloof from, stay away from; evade, shirk, shun ";hi;;;;;;hi;pi;;;;;
423;凝;7;ギョウ、こ-る、こ-らす;;gyoo;"freeze, congeal";"ko(ru), ko(rasu)";"feel stiff, get stiff; be absorbed in, be devoted to, be a fanatic; elaborate; concentrate, devote, apply, strain, rack";gyoo;;;;;;;;;;;;
679;魂;7;コン、たましい;;kon;"soul, spirit";tamashii;"soul, spirit";kon;;;;;;kon;damasii;;;;;
935;准;7;ジュン;;jun;"quasi-, semi-, associate";-;-;zyun;;;;;;zyun;;;;;;
1191;遷;7;セン;うつ;sen;"move, change, shift; pass into, drift; soak in; be infected, catch (a cold); catch fire, spread ";-;-;sen;;;;;;sen;;;;;;
1447;帝;7;テイ;タイ、みかど;tei;"emperor; the god of heaven; the creator";-;-;tei;tai;;;;;tei;;;;;;
1703;尾;7;ビ、お;ミ;bi;"tail; end; counter for fish";o;"tail; trail (of a meteor); lower slope (of a mountain)";o;bi;;;;;bi;mi;;;;;
680;墾;7;コン;;kon;"open up farmland";-;-;kon;;;;;;kon;;;;;;
936;殉;7;ジュン;;jun;"die a martyr, follow (someone) by committing suicide; follow in resigning";-;-;zyun;;;;;;;;;;;;
1448;訂;7;テイ;;tei;"correct; decide";-;-;tei;;;;;;tei;;;;;;
1704;眉;7;ビ、[ミ]、まゆ;;"bi, [mi]";eyebrow;mayu;eyebrow;mi;mayu;bi;;;;bi;;;;;;
681;懇;7;コン、ねんご-ろ;;kon;"kind, courteous, hospitable, cordial";nengo(ro);"kind, courteous, hospitable, cordial";kon;;;;;;kon;;;;;;
1193;薦;7;セン、すす-める;;sen;"recommendation, advice, encouragement ";susu(meru);"recommend, advise, encourage; offer (wine)";;;;;;;sen;;;;;;
1961;躍;7;ヤク、おど-る;;yaku;"dance; leap, skip; throb (the heart); act as a cat's-paw; double (the interest on a debt)";odo(ru);"dance; leap, skip; throb (the heart); act as a cat's-paw; double (the interest on a debt)";yaku;yaQ;;;;;yaku;;;;;;
170;雅;7;ガ;みやび;ga;"elegance, refined taste";-;-;ga;;;;;;ga;;;;;;
